#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
181,James Wiseman,GSW,20,39,18,21,21.4,11.5,4.9,9.4,51.9,0.3,1.0,31.6,1.4,2.2,62.8,1.4,4.4,5.8,0.7,1.5,0.3,0.9,3.1,21.5,3,0,-4.7
182,Shake Milton,PHI,24,63,46,17,23.2,13.0,4.8,10.6,45.0,1.1,3.2,35.0,2.3,2.8,83.0,0.5,1.8,2.3,3.1,1.6,0.6,0.3,2.1,21.5,0,0,2.1
183,Marcus Morris Sr.,LAC,31,57,38,19,26.3,13.4,4.8,10.2,47.3,2.5,5.2,47.3,1.3,1.6,82.0,0.6,3.5,4.1,1.0,1.0,0.6,0.3,2.1,21.5,0,0,2.3
184,Duncan Robinson,MIA,27,72,40,32,31.4,13.1,4.4,10.0,43.9,3.5,8.5,40.8,0.9,1.0,82.7,0.1,3.4,3.5,1.8,1.1,0.6,0.3,2.5,21.4,1,0,1.6
185,Justin Holiday,IND,32,72,34,38,30.3,10.5,3.6,8.7,41.3,2.4,6.3,38.2,0.9,1.2,78.8,0.4,3.1,3.6,1.7,0.8,1.0,0.6,1.9,21.3,0,0,-0.6
186,Kenyon Martin Jr.,HOU,20,45,10,35,23.7,9.3,3.6,7.1,50.9,0.8,2.1,36.5,1.3,1.9,71.4,1.6,3.8,5.4,1.1,0.8,0.7,0.9,2.0,21.3,4,0,-6.3
187,Tristan Thompson,BOS,30,54,27,27,23.8,7.6,3.1,6.0,51.8,0.0,0.1,0.0,1.3,2.2,59.2,3.1,5.0,8.1,1.2,1.1,0.4,0.6,2.2,21.2,5,0,0.4
188,Nickeil Alexander-Walker,NOP,22,46,20,26,21.9,11.0,4.2,10.0,41.9,1.7,4.8,34.7,1.0,1.4,72.7,0.3,2.8,3.1,2.2,1.5,1.0,0.5,1.9,21.1,0,0,-1.1
189,Seth Curry,PHI,30,57,39,18,28.7,12.5,4.5,9.7,46.7,2.2,4.9,45.0,1.2,1.4,89.6,0.2,2.2,2.4,2.7,1.1,0.8,0.1,1.7,21.0,0,0,5.6
190,Nicolas Batum,LAC,32,67,44,23,27.4,8.1,2.9,6.1,46.4,1.6,4.1,40.4,0.7,0.9,82.8,0.7,4.0,4.7,2.2,0.8,1.0,0.6,1.5,21.0,1,0,5.1
191,Paul Millsap,DEN,36,56,38,18,20.8,9.0,3.4,7.2,47.6,0.9,2.6,34.3,1.3,1.8,72.4,1.4,3.3,4.7,1.8,0.9,0.9,0.6,2.0,21.0,2,0,1.8
193,Bruce Brown,BKN,24,65,45,20,22.3,8.8,3.6,6.5,55.6,0.3,0.9,28.8,1.3,1.8,73.5,1.7,3.7,5.4,1.6,0.8,0.9,0.4,2.2,20.8,6,0,1.1
194,Dwight Howard,PHI,35,69,46,23,17.3,7.0,2.6,4.4,58.7,0.1,0.3,25.0,1.8,3.0,57.6,2.8,5.7,8.4,0.9,1.6,0.4,0.9,2.9,20.8,12,0,-1.0
195,Cedi Osman,CLE,26,59,17,42,25.6,10.4,3.7,9.9,37.4,1.7,5.5,30.6,1.3,1.6,80.0,0.6,2.8,3.4,2.9,1.4,0.9,0.2,2.0,20.7,2,0,-5.5
196,Isaiah Roby,OKC,23,61,19,42,23.4,8.7,3.4,7.0,48.3,0.5,1.8,29.4,1.4,1.9,74.4,1.5,4.1,5.6,1.8,1.9,0.9,0.6,2.7,20.6,3,0,-7.2
197,De'Anthony Melton,MEM,23,52,27,25,20.1,9.1,3.3,7.6,43.8,1.7,4.1,41.2,0.8,1.0,80.4,0.6,2.5,3.1,2.5,1.3,1.2,0.6,1.6,20.6,1,0,2.3
200,Theo Maledon,OKC,20,65,20,45,27.3,10.1,3.5,9.4,36.8,1.6,4.8,33.5,1.6,2.1,74.8,0.4,2.9,3.2,3.5,2.2,0.9,0.2,1.9,20.2,1,0,-9.6
201,Elfrid Payton,NYK,27,63,36,27,23.6,10.1,4.3,9.9,43.2,0.4,1.6,28.6,1.2,1.7,68.2,1.0,2.4,3.4,3.2,1.6,0.7,0.1,1.8,20.1,0,0,-1.6
202,Patrick Williams,CHI,19,71,30,41,27.9,9.2,3.6,7.4,48.3,0.8,1.9,39.1,1.3,1.8,72.8,0.9,3.7,4.6,1.4,1.4,0.9,0.6,1.8,20.1,3,0,-4.1
203,Willy Hernangomez,NOP,27,47,20,27,18.0,7.8,3.2,5.7,56.3,0.0,0.2,10.0,1.3,2.0,66.7,2.5,4.6,7.1,1.1,0.7,0.5,0.5,1.4,20.0,11,0,-0.3
204,Jeff Green,BKN,34,68,44,24,27.0,11.0,3.8,7.8,49.2,1.5,3.7,41.2,1.8,2.4,77.6,0.5,3.4,3.9,1.6,0.8,0.5,0.4,1.8,20.0,0,0,1.7
206,Grayson Allen,MEM,25,50,26,24,25.2,10.6,3.5,8.3,41.8,2.1,5.5,39.1,1.6,1.8,86.8,0.4,2.8,3.2,2.2,1.0,0.9,0.2,1.4,20.0,0,0,0.2
