#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
341,Vince Carter,MEM,40,73,36,37,1800,11.7,3.9,9.8,39.4,2.2,5.9,37.8,1.8,2.3,76.5,0.7,3.8,4.5,2.7,1.0,1.2,0.7,3.3,25.9,0,0,3.1
342,Meyers Leonard,POR,25,74,37,37,1222,11.8,4.3,11.1,38.6,2.2,6.3,34.7,1.0,1.2,87.5,0.8,6.2,7.0,2.1,1.0,0.4,0.8,5.1,25.9,1,0,-0.9
344,DeMarre Carroll,TOR,30,72,44,28,1881,12.2,4.2,10.5,40.0,2.1,6.1,34.1,1.7,2.2,76.1,1.2,4.1,5.3,1.4,1.0,1.5,0.5,2.7,25.8,2,0,2.2
346,Wesley Matthews,DAL,30,73,29,44,2495,14.2,4.8,12.2,39.3,2.5,6.9,36.3,2.1,2.6,81.6,0.3,3.5,3.7,3.0,1.5,1.1,0.2,2.3,25.8,0,0,-2.8
347,Garrett Temple,SAC,31,65,25,40,1728,10.5,3.8,9.0,42.4,1.7,4.6,37.3,1.2,1.5,78.4,0.7,3.2,3.8,3.5,1.6,1.7,0.6,2.9,25.8,0,0,-3.7
348,Lavoy Allen,IND,28,61,31,30,871,7.3,3.2,6.9,45.8,0.0,0.0,0.0,1.0,1.4,69.7,4.3,4.7,9.0,2.4,1.2,0.7,1.0,3.2,25.7,2,0,-5.1
349,Joe Johnson,UTA,36,78,47,31,1843,14.0,5.3,12.2,43.6,2.1,5.0,41.1,1.2,1.5,81.8,0.6,4.1,4.7,2.8,1.3,0.7,0.4,1.8,25.7,0,0,2.3
351,P.J. Tucker,TOR,32,81,35,46,2236,8.7,3.2,7.8,41.3,1.1,3.2,35.7,1.2,1.5,77.4,1.9,5.7,7.6,1.6,1.1,1.9,0.3,3.2,25.6,3,0,-1.2
352,Jeff Green,ORL,30,69,26,43,1534,15.0,5.2,13.1,39.4,1.2,4.5,27.5,3.4,3.9,86.3,0.9,4.1,5.0,1.9,1.8,0.9,0.3,2.4,25.6,1,0,-6.9
354,Shelvin Mack,UTA,27,55,34,21,1205,12.8,5.1,11.4,44.6,1.1,3.6,30.8,1.6,2.3,68.8,0.6,3.1,3.7,4.6,2.7,1.3,0.1,3.0,25.6,0,0,0.5
355,Luol Deng,LAL,32,56,18,38,1486,10.3,4.0,10.3,38.7,1.2,4.0,30.9,1.1,1.5,73.0,1.5,5.6,7.1,1.8,1.0,1.2,0.5,1.5,25.5,5,0,-4.7
356,Corey Brewer,LAL,31,82,47,35,1281,10.4,4.1,9.8,42.2,0.8,3.3,22.9,1.4,1.9,73.5,0.9,3.8,4.7,2.7,1.5,1.7,0.6,3.7,25.4,0,0,2.0
