#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
193,Jordan Clarkson,CLE,26,30,21,9,23.4,12.9,4.7,10.7,44.4,1.7,4.2,40.8,1.7,2.1,81.3,0.5,1.7,2.2,1.9,1.3,0.7,0.1,1.6,19.6,0,0,0.4
194,Frank Kaminsky,CHA,25,32,15,17,23.3,11.8,3.9,8.8,45.0,1.5,3.5,44.1,2.4,2.9,82.6,0.6,3.0,3.5,1.9,0.9,0.4,0.2,1.1,19.6,0,0,0.9
195,David Nwaba,CHI,25,30,9,21,24.9,8.7,3.1,7.0,44.5,0.4,1.1,37.5,2.0,2.8,73.5,1.4,3.4,4.8,1.8,1.2,0.9,0.3,2.4,19.6,2,0,-7.5
197,Emmanuel Mudiay,NYK,22,25,8,17,21.8,8.8,3.4,9.1,37.7,0.4,2.1,20.8,1.5,2.1,69.8,0.4,2.3,2.8,3.7,1.8,0.9,0.3,1.5,19.4,1,0,-5.0
198,Marco Belinelli,PHI,32,29,23,6,26.2,13.4,4.8,9.8,49.1,2.0,5.1,38.9,1.9,2.1,87.1,0.2,1.6,1.8,1.5,1.4,0.7,0.3,1.8,19.3,0,0,4.5
199,Jeff Green,CLE,31,27,17,10,26.4,11.8,4.1,8.8,46.6,0.9,2.9,30.4,2.7,3.0,88.9,0.5,2.4,2.9,1.3,1.0,0.5,0.6,2.1,19.2,0,0,2.8
201,Delon Wright,TOR,26,31,24,7,19.9,7.5,2.8,6.1,46.6,0.9,2.4,36.5,0.9,1.2,73.7,0.5,2.1,2.6,3.3,1.0,1.1,0.4,1.2,19.2,0,0,4.8
202,Patty Mills,SAS,29,28,13,15,29.0,11.1,3.8,9.5,40.1,2.0,5.8,35.0,1.4,1.6,90.9,0.5,1.5,2.0,3.0,1.1,0.6,0.1,2.0,19.1,0,0,3.1
203,Rodney Hood,CLE,25,24,16,8,24.9,11.7,4.5,9.6,46.5,1.3,3.4,36.6,1.5,1.8,85.7,0.4,2.1,2.5,1.5,0.4,0.7,0.2,1.8,19.1,0,0,0.9
205,Justin Holiday,CHI,29,22,6,16,25.6,9.7,3.3,9.0,36.7,1.8,5.6,31.5,1.3,1.6,80.6,0.1,2.9,3.0,1.7,1.2,1.2,0.1,1.6,18.8,0,0,-2.8
206,Mike Muscala,ATL,26,31,9,22,22.6,8.7,3.1,7.1,43.9,1.4,4.2,34.1,1.1,1.1,94.3,1.2,3.6,4.8,1.1,1.0,0.6,0.6,1.3,18.8,1,0,-1.3
207,Corey Brewer,OKC,32,25,15,10,23.7,8.0,2.9,6.6,43.9,0.8,2.6,32.8,1.4,1.7,81.4,1.1,1.8,2.9,1.2,0.6,1.6,0.3,2.7,18.6,0,0,1.8
209,Jakob Poeltl,TOR,22,32,25,7,19.4,6.8,3.0,4.4,68.3,0.0,0.0,0.0,0.8,1.0,75.0,1.6,3.1,4.7,1.0,1.2,0.6,1.3,2.5,18.4,0,0,4.2
211,Bam Adebayo,MIA,20,26,11,15,19.6,7.0,2.4,5.5,43.4,0.0,0.1,0.0,2.2,3.2,68.7,1.8,4.6,6.4,1.3,1.0,0.2,0.6,2.0,18.2,4,0,-0.4
212,Frank Mason,SAC,24,23,8,15,19.4,8.4,2.9,7.8,37.2,0.6,1.9,30.2,2.0,2.3,88.5,0.7,2.2,3.0,2.7,1.2,0.8,0.3,1.7,18.1,0,0,-1.0
213,Gerald Green,HOU,32,27,25,2,21.5,10.8,3.7,9.4,39.1,2.4,6.9,34.9,1.0,1.2,87.5,0.3,3.0,3.4,0.6,0.6,0.6,0.4,2.1,18.1,0,0,3.4
214,Milos Teodosic,LAC,31,22,14,8,24.5,9.5,3.3,7.1,46.2,2.0,4.5,43.0,1.0,1.1,84.0,0.2,2.2,2.5,4.0,2.0,0.5,0.1,2.2,18.1,0,0,0.2
215,P.J. Tucker,HOU,33,32,29,3,28.9,7.3,2.5,6.2,40.9,1.9,4.6,41.2,0.3,0.6,55.0,1.1,3.8,5.0,1.1,1.0,0.9,0.4,2.2,18.0,1,0,7.1
220,Mason Plumlee,DEN,28,23,14,9,16.5,6.6,2.7,4.2,64.9,0.0,0.0,0.0,1.1,2.0,55.6,1.6,2.6,4.2,1.9,1.0,0.6,0.9,2.8,17.8,0,0,-2.0
221,Anthony Tolliver,DET,33,32,15,17,24.2,10.4,3.3,6.8,48.1,2.3,5.0,46.6,1.5,1.9,79.0,0.7,2.8,3.5,1.1,0.6,0.5,0.3,1.8,17.8,1,0,-0.9
222,Isaiah Taylor,ATL,23,30,8,22,21.5,9.3,3.4,7.9,42.9,0.4,1.6,23.4,2.2,2.9,74.7,0.4,1.2,1.5,4.2,1.8,0.6,0.1,2.3,17.6,0,0,-1.8
223,Kevon Looney,GSW,22,26,13,13,17.9,5.6,2.4,4.3,56.8,0.0,0.2,20.0,0.7,1.4,48.6,1.5,2.4,4.0,0.8,0.4,0.9,1.2,1.9,17.4,0,0,1.5
224,Noah Vonleh,CHI,22,23,7,16,18.0,6.5,2.5,6.1,41.1,0.8,2.7,29.5,0.7,1.3,48.4,1.5,4.9,6.4,1.0,0.7,0.6,0.3,1.1,17.4,2,0,-1.1
225,Tyler Dorsey,ATL,22,31,9,22,23.7,9.9,3.6,9.5,38.6,1.6,4.7,34.7,1.0,1.5,68.9,0.4,2.6,3.1,2.0,0.9,0.5,0.1,1.6,17.3,0,0,-5.2
228,Cheick Diallo,NOP,21,28,18,10,15.1,6.8,2.7,4.6,58.1,0.0,0.0,0.0,1.4,1.8,78.0,1.3,4.6,5.9,0.5,0.7,0.4,0.7,1.9,17.0,3,0,-0.4
230,Tristan Thompson,CLE,27,22,14,8,20.2,6.0,2.7,4.8,55.7,0.0,0.0,0.0,0.6,1.5,43.8,2.7,4.8,7.5,0.6,0.7,0.3,0.3,1.6,17.0,1,0,-2.5
232,Wayne Ellington,MIA,30,25,12,13,26.8,10.4,3.3,9.1,36.4,2.6,7.4,35.5,1.1,1.2,93.3,0.3,2.2,2.6,1.0,0.7,0.8,0.0,1.4,16.9,0,0,1.7
233,Trey Lyles,DEN,22,27,18,9,16.1,8.1,3.1,6.8,45.7,0.7,2.5,27.9,1.2,1.7,73.3,0.5,3.4,4.0,1.4,0.7,0.3,0.6,1.4,16.8,1,0,0.9
