#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
27,Minnesota Timberwolves,22,6,16,0.273,48.2,104.4,38.2,84.5,45.2,8.3,23.7,35.1,19.7,25.2,78,12,30.3,42.2,21.9,14.7,7.9,4.7,5.3,21.7,20.9,-2,2016
27,Phoenix Suns,22,6,16,0.273,48.7,105.7,39,88.5,44.1,7.6,23.3,32.7,20,26.1,76.5,11.4,33.8,45.1,18.3,16.3,8.9,4.1,6,25.7,21.9,-7.2,2016
29,Philadelphia 76ers,23,5,18,0.217,48.9,97.6,36.4,84.9,42.9,11,30.5,36,13.7,19.1,72,9,34.4,43.4,22.6,17,7.8,6,5.6,22.1,19.4,-8.7,2016
30,Dallas Mavericks,21,4,17,0.19,48.5,92.1,34.2,83.1,41.1,9.6,29.8,32.3,14.1,17.9,79.2,9.2,31,40.3,18.8,13.1,7.6,3.7,3.8,19.6,19.8,-8.2,2016
1,Boston Celtics,24,20,4,0.833,48.2,104.5,37.5,83.8,44.7,11.5,30.9,37.1,18.1,23.5,77,9.3,35.7,45,22.6,14.2,8,4.5,4.3,19.8,20.8,7.1,2017
2,Houston Rockets,21,17,4,0.81,48,113.9,38.9,83.9,46.3,16.2,44.4,36.5,20,24.9,80.5,9.6,35.2,44.9,23.4,15.8,9.1,5,4.6,20.6,20.3,10.8,2017
3,Golden State Warriors,23,17,6,0.739,48.2,118,44.2,86.3,51.2,12.6,31.4,40.1,17,20.7,81.9,8.8,36.4,45.2,30.8,16.7,8.8,8.6,4.2,20.9,18.2,10.7,2017
4,Cleveland Cavaliers,23,16,7,0.696,48.2,111.4,40.1,83.5,48,11.9,32,37.1,19.4,23.8,81.4,8.5,33.8,42.3,22.7,15,7,4.1,4,19.8,22,2.6,2017
5,San Antonio Spurs,22,15,7,0.682,48,101.5,38.1,83.7,45.5,8.9,24.6,36.2,16.4,20.9,78.4,10.4,34.3,44.7,23.1,14.2,7.7,6,4.3,17.4,19.6,4,2017
6,Toronto Raptors,21,14,7,0.667,48,110.9,41.3,84.7,48.8,11.1,31.7,35.1,17,22,77.7,8.8,32.9,41.6,23.3,14.4,8.2,5.7,4.3,22.3,19.7,7.2,2017
7,Detroit Pistons,22,14,8,0.636,48,105,39.8,86.1,46.2,11.1,29.2,38.2,14.3,18.9,75.7,10.3,31.7,42,22.7,14.9,8,3.5,5,19.6,19.1,2,2017
8,Denver Nuggets,22,13,9,0.591,48,106.9,39.5,85.7,46.1,10.8,29.6,36.5,17,23.2,73.2,12,32.9,44.9,23.1,16.1,8.1,4.5,4.6,17.5,21.5,0.6,2017
8,Philadelphia 76ers,22,13,9,0.591,48,108.5,40.1,88,45.6,10.8,29.7,36.3,17.5,24.2,72,12.1,37.3,49.5,25.6,17.5,8.4,4.8,5.6,23.9,22.1,0.7,2017
10,Milwaukee Bucks,21,12,9,0.571,48.2,103.2,39,81.1,48,8.9,24.6,36.2,16.4,22,74.5,7.2,31.1,38.3,22.5,14,8.5,5.6,3.6,22.4,19.8,-0.7,2017
