#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
305,Bryn Forbes,MIL,27,32,21,11,20.2,10.5,3.7,7.8,47.2,2.3,5.1,44.2,0.8,1.1,79.4,0.1,1.8,2.0,0.7,0.8,0.5,0.0,1.1,14.7,1,0,2.7
306,Willie Cauley-Stein,DAL,27,20,13,7,16.8,4.9,2.0,3.1,64.5,0.0,0.2,0.0,0.9,1.5,60.0,1.3,3.2,4.5,0.5,0.7,0.6,0.9,2.7,14.7,0,0,4.0
307,Brad Wanamaker,CHA,31,24,10,14,18.9,6.6,2.4,5.7,41.6,0.1,1.2,10.3,1.7,1.9,89.1,0.4,1.4,1.8,3.1,1.5,0.7,0.2,1.8,14.7,0,0,-4.6
308,Andre Iguodala,MIA,37,26,16,10,20.5,4.0,1.4,3.5,39.1,0.8,2.4,32.3,0.4,0.5,84.6,0.7,2.5,3.2,2.5,1.2,0.8,0.7,1.5,14.7,0,0,-0.6
309,Kira Lewis Jr.,NOP,20,30,13,17,18.6,6.8,2.5,6.5,38.3,0.8,2.4,33.3,1.0,1.0,96.8,0.3,1.3,1.5,2.6,0.7,0.7,0.3,1.9,14.6,0,0,1.2
310,Patty Mills,SAS,32,33,12,21,24.1,8.5,2.8,7.6,36.8,2.1,5.8,35.6,0.9,0.9,93.5,0.2,1.4,1.6,2.2,0.8,0.5,0.1,1.0,14.6,0,0,-3.4
312,Payton Pritchard,BOS,23,34,16,18,17.6,7.9,2.8,6.4,42.9,1.7,4.1,41.3,0.7,0.8,85.2,0.5,2.1,2.6,1.4,0.5,0.6,0.1,1.2,14.5,0,0,0.6
313,Al-Farouq Aminu,CHI,30,11,2,9,18.2,4.5,1.7,4.0,43.2,0.2,1.5,11.8,0.8,1.0,81.8,0.8,4.4,5.2,1.3,1.1,0.6,0.4,1.3,14.5,1,0,2.3
314,Juancho Hernangomez,MIN,25,32,13,19,18.0,7.9,2.7,6.0,44.8,1.2,3.4,34.3,1.4,2.3,60.8,0.9,2.8,3.7,0.7,0.6,0.4,0.2,1.1,14.5,0,0,-1.2
316,Josh Okogie,MIN,22,27,12,15,21.3,5.9,2.0,4.1,47.7,0.6,1.9,34.0,1.3,1.8,71.4,1.2,1.5,2.7,0.9,0.7,1.0,0.5,2.1,14.4,0,0,-2.7
318,Georges Niang,UTA,28,34,24,10,19.1,8.8,3.0,6.7,44.5,2.3,5.0,46.2,0.5,0.5,94.4,0.5,2.3,2.7,1.0,0.8,0.4,0.1,1.8,14.2,1,0,6.3
319,Jaylen Hoard,OKC,22,19,1,18,16.8,6.1,2.3,4.6,50.0,0.0,0.6,0.0,1.5,2.2,68.3,1.1,2.3,3.4,1.3,0.9,0.7,0.3,1.0,14.1,0,0,-3.3
320,D.J. Wilson,HOU,25,23,4,19,14.3,6.1,2.3,5.4,41.6,0.9,2.6,33.9,0.7,1.0,69.6,0.7,3.0,3.8,0.9,0.8,0.4,0.5,1.3,14.0,1,0,-3.1
321,Jeff Teague,MIL,33,25,12,13,16.6,7.3,2.5,4.8,51.2,0.6,1.3,45.5,1.8,2.1,83.0,0.3,1.2,1.5,2.8,1.2,0.4,0.2,0.8,14.0,0,0,0.0
323,Yuta Watanabe,TOR,26,25,10,15,17.0,6.2,2.3,4.5,51.3,0.9,2.2,41.8,0.6,0.8,78.9,0.6,2.6,3.2,1.1,0.4,0.6,0.2,1.3,13.9,0,0,-2.1
325,Damion Lee,GSW,28,19,9,10,18.8,7.0,2.5,4.9,51.6,1.3,2.9,45.5,0.6,0.7,92.3,0.4,2.4,2.8,1.0,0.7,0.7,0.2,1.7,13.8,0,0,0.0
