Player,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Jerian Grant,29,47,16.6,97.3,103.9,-6.5,23.6,2.03,25.0,1.7,9.1,5.4,12.3,42.2,47.9,18.5,96.59,8.2,"2,545"
Terrence Ross,53,20,23.9,107.2,101.2,6.0,5.3,1.22,7.4,1.2,9.2,5.2,6.1,53.6,55.1,17.8,94.21,8.2,"3,448"
Richaun Holmes,7,44,13.8,102.8,106.3,-3.6,7.3,1.03,10.3,8.5,10.4,9.4,10.0,53.2,56.4,17.1,101.33,8.2,"1,482"
Avery Bradley,45,31,33.4,108.5,103.9,4.6,9.5,1.45,11.8,1.8,6.5,4.1,8.1,52.0,53.8,19.7,99.57,8.2,"5,248"
Tim Hardaway Jr.,29,22,16.9,104.4,97.8,6.6,8.9,2.22,14.2,0.8,8.4,4.8,6.4,52.1,56.3,15.9,98.54,8.2,"1,766"
Tarik Black,6,33,12.7,102.8,99.4,3.4,5.3,0.73,9.8,8.6,22.8,15.5,13.4,54.8,53.7,13.0,96.85,8.1,993
Eric Gordon,14,31,32.9,103.6,105.9,-2.3,12.9,1.66,15.1,0.7,5.9,3.3,9.1,52.1,56.5,20.3,98.49,8.1,"3,039"
Joe Johnson,31,50,33.4,105.6,106.5,-0.9,17.2,2.00,22.7,1.9,9.2,5.6,11.4,50.9,53.8,17.8,96.17,8.1,"5,413"
Jonas Jerebko,47,31,15.1,101.1,98.1,3.0,7.8,1.19,14.3,6.0,17.0,11.5,12.0,48.8,53.1,13.3,100.98,8.0,"2,454"
Vince Carter,33,27,16.8,104.0,105.6,-1.6,8.9,1.60,12.0,2.9,11.7,7.1,7.5,47.4,52.0,17.7,97.16,8.0,"2,034"
Maurice Harkless,40,38,18.7,106.8,105.5,1.3,6.8,1.08,11.4,6.8,11.7,9.2,10.5,52.2,54.1,15.3,98.57,8.0,"2,987"
Jerryd Bayless,21,31,28.9,103.1,109.1,-6.0,16.8,2.23,22.9,1.5,8.1,4.8,10.3,53.9,56.8,16.4,94.90,8.0,"2,972"
Marcelo Huertas,8,45,16.4,102.9,101.1,1.7,32.7,2.28,36.4,2.0,8.2,5.1,16.0,45.7,48.8,16.1,95.94,8.0,"1,731"
Glenn Robinson III,24,21,11.3,98.5,102.0,-3.6,7.7,1.44,12.3,2.2,10.9,6.5,8.5,47.7,50.8,15.7,97.85,8.0,"1,036"
Darrell Arthur,26,44,21.7,102.2,104.0,-1.8,10.2,1.45,14.2,5.5,13.2,9.3,9.8,49.8,51.4,16.5,97.63,7.9,"3,085"
Harrison Barnes,59,7,30.9,112.0,101.8,10.2,7.7,2.05,13.5,3.8,11.4,7.8,6.6,53.1,55.9,15.6,100.93,7.9,"4,299"
Omer Asik,29,39,17.3,98.7,107.5,-8.8,3.2,0.43,7.8,9.5,25.8,17.2,18.0,53.3,55.1,11.4,97.39,7.9,"2,393"
Joe Ingles,40,41,15.3,99.4,100.3,-0.9,12.5,1.48,21.0,1.5,10.9,6.1,14.2,56.5,57.2,12.8,95.24,7.9,"2,474"
Kevin Seraphin,15,33,11.0,92.7,100.4,-7.6,15.7,1.09,15.4,5.6,17.2,11.4,14.1,41.0,43.5,21.9,97.92,7.8,"1,072"
Matt Barnes,38,38,28.8,103.2,107.7,-4.5,11.7,1.35,15.7,3.6,16.0,9.5,11.7,46.7,50.3,17.5,95.57,7.8,"4,355"
Sasha Vujacic,22,39,14.9,102.5,103.9,-1.4,14.6,1.91,20.0,2.6,13.2,7.8,10.5,47.7,50.3,15.9,96.91,7.8,"1,826"
Steve Blake,34,24,17.0,99.0,102.3,-3.3,31.1,2.47,37.8,0.8,8.3,4.3,15.3,49.6,51.0,14.3,97.62,7.8,"2,011"
Patrick Patterson,54,25,25.6,110.9,101.7,9.2,7.0,1.45,14.1,4.0,12.8,8.5,9.8,52.1,53.4,12.7,93.61,7.8,"3,957"
Norris Cole,20,25,26.6,102.7,107.2,-4.5,21.9,2.23,22.1,0.8,12.2,6.3,9.9,43.9,46.5,21.2,98.94,7.8,"2,473"
P.J. Tucker,23,59,31.0,100.7,107.1,-6.4,10.4,1.59,19.0,6.2,13.8,9.8,11.9,46.9,50.6,12.5,99.32,7.8,"5,246"
Matthew Dellavedova,54,22,24.6,110.0,99.7,10.3,26.5,2.91,34.0,1.8,6.8,4.3,11.7,50.1,52.7,15.5,95.20,7.7,"3,704"
Tyus Jones,13,24,15.5,98.6,109.3,-10.7,27.8,3.27,34.7,1.2,7.3,4.1,10.6,41.0,45.0,15.1,99.57,7.7,"1,184"
Beno Udrih,26,18,16.1,100.0,101.7,-1.7,25.6,2.19,30.9,1.2,9.1,5.2,14.1,47.2,49.6,16.7,95.27,7.7,"1,406"
Jared Dudley,40,41,25.9,105.1,103.3,1.7,11.2,2.14,21.9,2.6,11.3,6.9,10.3,58.1,60.2,12.7,99.23,7.7,"4,329"
Kentavious Caldwell-Pope,41,35,36.7,106.5,103.9,2.6,7.5,1.31,10.6,2.3,7.7,4.8,8.1,47.9,52.1,17.7,96.45,7.7,"5,616"
Gary Harris,31,45,32.1,105.1,109.2,-4.1,9.3,1.50,13.8,2.1,6.9,4.4,9.2,53.8,56.6,16.0,97.57,7.6,"4,953"
Patrick Beverley,35,36,28.7,108.9,105.4,3.5,17.5,2.63,24.8,3.5,8.7,6.1,9.4,53.9,55.3,15.3,98.35,7.6,"4,176"
Anthony Tolliver,36,36,18.6,102.3,102.4,0.0,5.8,1.86,12.1,2.6,14.3,8.1,6.5,53.3,54.3,12.2,96.06,7.6,"2,687"
Arron Afflalo,27,44,33.4,104.0,107.4,-3.4,9.7,1.76,13.4,1.0,9.8,5.5,7.6,50.0,53.1,17.8,94.09,7.6,"4,650"
Tony Allen,34,30,25.3,103.9,105.2,-1.4,6.8,0.90,10.3,6.3,12.8,9.4,11.5,47.4,50.5,16.7,93.77,7.5,"3,142"
Allen Crabbe,43,38,26.0,106.5,105.5,1.0,7.2,1.55,11.2,1.2,8.6,4.9,7.2,54.1,57.2,15.9,99.07,7.5,"4,344"
John Jenkins,18,25,11.2,98.7,105.6,-6.9,11.1,1.30,15.2,1.5,9.4,5.4,11.7,49.4,52.2,16.7,103.13,7.5,"1,035"
Tyler Ennis,17,29,14.2,98.3,104.1,-5.8,22.5,2.07,27.8,2.0,9.7,5.9,13.5,48.4,51.0,16.8,95.60,7.5,"1,306"
Pablo Prigioni,37,22,13.9,96.2,100.4,-4.1,23.5,2.65,39.5,4.5,9.2,6.8,14.9,46.9,48.2,10.8,96.92,7.5,"1,663"
Chase Budinger,29,37,14.1,101.9,102.1,-0.3,9.8,1.45,17.3,4.3,11.5,7.8,11.9,48.5,51.4,13.8,100.03,7.4,"1,941"
Devin Booker,20,56,27.7,100.3,108.7,-8.4,16.2,1.25,15.0,1.2,7.5,4.3,12.0,48.0,53.5,22.8,99.76,7.4,"4,379"
Kevin Martin,24,31,19.9,101.0,106.4,-5.4,8.9,1.07,9.6,1.3,9.0,5.1,8.9,43.1,52.0,21.7,98.65,7.4,"2,250"
Andrea Bargnani,11,35,13.8,95.6,110.2,-14.7,5.1,0.69,5.2,4.2,11.7,7.7,7.5,46.1,50.0,22.7,97.15,7.3,"1,281"
Jerami Grant,9,68,26.8,96.0,106.6,-10.7,10.6,1.23,13.6,4.6,12.2,8.4,11.1,44.8,50.6,17.9,99.79,7.3,"4,278"
Aaron Brooks,36,33,16.1,102.3,102.3,0.0,26.5,2.20,23.7,1.8,6.8,4.3,10.8,47.1,49.4,22.5,97.72,7.3,"2,249"
Darrun Hilliard,17,21,10.1,100.6,102.3,-1.7,11.7,1.42,13.8,1.3,10.3,5.7,9.7,46.9,51.1,19.0,96.87,7.3,778
E'Twaun Moore,29,30,21.4,104.0,105.0,-0.9,11.8,1.87,17.8,1.5,8.2,5.0,9.5,54.1,54.8,15.7,97.97,7.3,"2,572"
Nemanja Bjelica,20,40,17.9,101.9,107.6,-5.7,11.5,1.74,21.1,4.7,15.6,10.1,12.1,57.0,59.4,12.3,98.30,7.3,"2,200"
Luke Babbitt,16,31,18.0,105.7,108.2,-2.5,9.2,2.30,13.8,2.8,14.7,8.6,6.0,49.8,52.6,16.8,99.91,7.2,"1,767"
Marcus Smart,36,25,27.3,103.1,100.6,2.5,16.2,2.31,21.4,4.1,10.2,7.0,9.2,40.5,46.3,16.8,102.13,7.2,"3,544"
Josh McRoberts,27,15,14.2,102.6,102.0,0.6,20.4,2.70,29.3,3.9,13.9,9.1,10.9,41.2,45.3,14.8,95.73,7.2,"1,185"
Leandro Barbosa,60,8,15.9,106.0,103.4,2.6,11.2,1.55,15.4,2.5,7.9,5.2,9.9,51.5,54.5,17.4,101.70,7.2,"2,278"
Archie Goodwin,14,43,19.5,101.7,110.6,-9.0,17.4,1.18,16.2,2.3,10.4,6.2,13.8,44.4,49.8,22.7,100.87,7.2,"2,341"
Bojan Bogdanovic,21,58,26.8,100.8,109.9,-9.2,7.3,0.86,9.7,1.7,10.5,6.1,11.3,51.9,55.0,19.0,97.14,7.2,"4,280"
Courtney Lee,49,30,29.6,107.1,104.1,3.0,8.8,1.89,15.3,1.3,7.7,4.5,8.1,51.8,55.1,14.6,95.03,7.1,"4,627"
Isaiah Canaan,10,67,25.5,95.9,108.2,-12.3,12.0,1.51,13.6,0.9,7.9,4.2,9.0,48.2,52.8,19.1,99.13,7.1,"4,067"
Brandon Rush,63,9,14.6,107.8,108.7,-0.9,7.2,1.73,15.7,2.1,14.0,8.4,9.1,55.2,56.0,12.5,101.46,7.1,"2,224"
Shabazz Napier,23,32,10.9,99.1,103.7,-4.6,25.3,2.11,26.7,1.5,7.7,4.5,12.7,42.3,46.0,19.6,96.86,7.1,"1,212"
Jonathon Simmons,47,8,14.8,107.2,101.0,6.3,10.8,1.09,14.9,2.2,9.9,6.3,13.6,54.1,58.6,18.3,97.23,7.1,"1,642"
Raul Neto,40,41,18.5,103.2,99.9,3.3,19.0,1.60,23.8,1.2,7.1,4.2,14.9,50.7,53.0,17.2,92.26,7.0,"2,871"
Jameer Nelson,12,27,26.6,102.5,109.5,-7.1,28.7,2.88,32.9,1.7,9.7,5.5,11.4,43.8,46.4,16.3,95.59,7.0,"2,069"
Danny Green,65,14,26.1,108.1,95.7,12.5,9.2,1.88,17.7,2.4,12.1,7.4,9.4,48.0,49.2,14.3,94.88,7.0,"4,074"
Doug McDermott,41,40,23.0,101.6,104.6,-3.0,4.9,1.11,7.5,1.9,8.0,4.9,6.7,53.7,56.1,16.6,98.78,6.9,"3,852"
Austin Rivers,42,25,21.8,98.7,102.8,-4.0,11.6,1.62,13.6,1.5,7.0,4.3,8.4,49.8,52.3,18.8,99.80,6.9,"3,024"
Wesley Johnson,51,29,20.8,102.7,99.9,2.7,4.5,0.91,7.7,2.2,12.1,7.2,8.5,50.4,51.3,15.3,99.56,6.9,"3,468"
Emmanuel Mudiay,29,39,30.4,104.7,107.9,-3.1,28.1,1.71,23.4,1.5,9.7,5.5,13.7,40.4,43.7,25.0,98.31,6.8,"4,242"
Wayne Ellington,18,58,21.2,96.7,106.6,-10.0,8.2,1.84,11.6,1.2,9.6,5.3,6.3,47.4,49.8,17.2,97.07,6.8,"3,268"
