#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
152,Paul Millsap,DEN,35,19,9,10,23.3,11.1,4.2,8.2,50.6,1.2,2.6,46.9,1.6,2.4,66.7,1.8,3.8,5.6,2.0,1.5,0.8,0.4,3.2,23.2,2,0,0.9
153,Josh Hart,NOP,25,23,10,13,24.9,9.3,3.2,7.3,43.5,1.5,4.7,32.7,1.5,2.1,70.8,0.8,6.3,7.1,2.1,1.0,0.8,0.2,1.8,23.0,4,0,-4.0
154,Kent Bazemore,SAC,30,20,11,9,24.2,11.0,3.8,8.9,42.7,1.2,3.1,37.7,2.3,3.1,73.8,0.5,4.7,5.2,1.5,1.2,1.2,0.4,3.1,23.0,0,0,1.3
155,Duncan Robinson,MIA,26,26,12,14,31.9,15.9,5.1,10.5,48.4,4.3,9.4,45.7,1.4,1.5,94.9,0.1,2.9,3.0,1.8,1.4,0.4,0.3,2.2,22.8,0,0,7.2
156,Michael Porter Jr.,DEN,22,16,7,9,21.7,12.6,4.6,9.1,51.0,1.5,3.7,40.7,1.8,2.1,87.9,1.4,4.1,5.5,1.1,1.2,0.6,0.4,2.1,22.8,4,0,-1.1
157,Jordan Clarkson,UTA,28,24,12,12,24.1,16.0,6.1,13.1,46.3,2.3,6.0,37.9,1.5,1.8,85.7,0.7,2.3,3.0,1.7,1.7,0.7,0.1,2.0,22.7,0,0,2.2
158,Jordan McLaughlin,MIN,24,17,4,13,21.3,9.6,3.7,6.8,54.8,1.1,2.7,39.1,1.1,1.7,65.5,0.3,1.3,1.6,4.9,1.2,1.4,0.2,1.1,22.6,2,0,-1.4
159,Danuel House Jr.,HOU,27,21,14,7,30.0,11.0,3.9,9.0,43.4,2.1,6.1,34.4,1.0,1.1,95.7,0.8,3.7,4.4,1.6,0.7,1.1,0.4,1.9,22.5,1,0,-0.2
161,Garrett Temple,BKN,34,20,10,10,26.7,10.7,3.7,9.3,39.2,2.1,6.1,34.7,1.3,1.4,92.9,0.3,3.5,3.8,2.7,0.6,0.7,0.6,1.8,22.4,2,0,0.9
162,Rudy Gay,SAS,33,23,11,12,21.6,12.1,4.5,10.0,45.4,1.3,3.4,38.0,1.7,1.9,93.0,0.8,4.0,4.9,1.5,1.0,0.7,0.4,1.7,22.4,0,0,-1.8
163,Darius Garland,CLE,20,11,4,7,34.1,12.6,5.2,12.1,42.9,1.6,4.4,37.5,0.6,0.6,100,0.5,1.0,1.5,4.8,2.2,0.5,0.4,1.7,22.3,0,0,-2.9
164,Kendrick Nunn,MIA,24,23,11,12,26.8,13.5,5.2,13.1,39.4,2.0,6.0,34.1,1.1,1.3,89.7,0.4,2.0,2.4,2.8,1.4,0.7,0.3,2.2,22.2,0,0,-3.3
165,Shaquille Harrison,CHI,26,14,3,11,19.4,8.6,3.3,6.4,51.1,0.7,1.8,40.0,1.4,1.6,86.4,1.1,2.4,3.5,1.5,0.8,1.6,1.0,2.2,22.0,0,0,1.6
166,Monte Morris,DEN,25,24,12,12,27.1,11.4,4.4,9.0,48.6,1.1,3.1,34.7,1.5,1.8,88.1,0.4,1.8,2.2,3.5,0.8,0.9,0.3,1.3,22.0,0,0,1.1
168,Maxi Kleber,DAL,28,27,14,13,27.2,9.1,3.3,7.3,45.7,1.6,4.5,35.5,0.9,1.1,77.4,1.5,3.7,5.2,1.5,0.8,0.4,1.3,2.6,21.8,1,0,0.1
169,Cameron Johnson,PHX,24,19,12,7,26.4,10.9,3.9,8.5,45.7,2.1,5.6,37.7,1.0,1.1,90.5,0.7,3.0,3.7,1.7,0.4,1.0,0.4,1.7,21.8,2,0,4.8
171,Alec Burks,PHI,28,20,12,8,20.8,13.3,4.5,9.7,46.4,2.0,4.6,43.5,2.3,2.7,84.9,0.6,2.5,3.1,2.2,1.0,0.7,0.1,1.2,21.6,0,0,2.4
172,Royce O'Neale,UTA,27,23,12,11,27.6,6.7,2.2,5.8,38.1,1.4,4.4,32.4,0.8,1.2,67.9,0.5,5.6,6.1,2.2,1.0,1.1,0.7,2.6,21.6,0,0,-1.5
173,Joe Ingles,UTA,32,24,12,12,29.0,8.3,2.8,6.3,44.7,1.6,4.3,37.9,1.0,1.2,82.1,0.4,3.0,3.3,5.5,2.3,0.9,0.2,2.1,21.6,1,0,0.0
174,Donte DiVincenzo,MIL,23,23,14,9,23.6,9.7,3.7,8.2,45.0,1.3,4.0,32.3,1.0,1.5,67.6,1.1,4.0,5.1,2.4,1.7,0.9,0.3,1.7,21.3,1,0,1.9
175,Gary Trent Jr.,POR,21,25,13,12,29.8,13.2,4.8,10.2,46.9,2.6,6.0,43.3,1.0,1.2,77.4,0.4,1.4,1.9,1.2,0.4,1.2,0.4,1.9,21.3,0,0,-1.9
176,Marcus Morris Sr.,LAC,30,21,14,7,29.5,11.7,4.4,10.0,43.8,1.5,4.5,32.6,1.5,1.7,86.1,0.7,3.4,4.1,1.3,1.3,0.7,0.6,2.8,21.2,0,0,8.6
177,Jeff Green,HOU,33,18,10,8,22.6,12.2,4.7,8.3,56.4,1.6,4.4,35.4,1.3,1.6,85.7,0.6,2.3,2.9,1.7,0.8,0.8,0.5,2.4,21.2,0,0,1.2
178,Reggie Jackson,LAC,30,24,14,10,24.3,11.5,4.3,10.3,41.1,1.8,4.7,39.3,1.2,1.4,87.9,0.5,2.6,3.1,4.1,1.7,0.3,0.2,2.1,21.1,1,0,3.8
179,Tyus Jones,MEM,24,16,8,8,19.2,10.8,4.3,8.8,48.2,1.2,2.9,41.3,1.1,1.5,70.8,0.2,1.4,1.6,4.0,0.5,1.0,0.0,0.8,21.1,0,0,3.1
180,Jordan Poole,GSW,21,15,4,11,25.3,12.7,4.7,10.0,46.7,1.5,4.8,31.9,1.9,2.5,75.7,0.3,2.1,2.4,3.7,2.2,0.7,0.1,1.9,21.1,0,0,-3.8
181,Darius Bazley,OKC,20,11,6,5,23.3,10.6,3.7,8.9,41.8,1.8,4.1,44.4,1.4,1.8,75.0,0.9,4.2,5.1,1.1,0.5,0.5,0.6,0.9,21.1,1,0,-0.6
182,Cody Martin,CHA,24,14,5,9,28.8,7.5,3.0,6.3,47.7,0.6,2.4,24.2,0.9,1.6,56.5,1.1,3.9,5.0,3.6,1.7,1.1,0.2,2.1,21.1,0,0,-4.9
183,Cedi Osman,CLE,25,16,6,10,30.7,11.4,4.1,9.9,41.1,2.0,5.4,36.8,1.3,1.8,69.0,0.9,3.2,4.1,2.5,1.7,0.8,0.1,2.8,20.9,1,0,-3.5
184,Kyle Anderson,MEM,26,24,10,14,24.5,7.1,2.8,6.0,46.5,0.7,2.0,34.0,0.9,1.2,75.0,0.8,4.0,4.8,3.0,1.2,0.9,0.7,2.1,20.9,0,0,-1.0
185,Shake Milton,PHI,23,24,12,12,24.8,11.5,4.2,8.4,49.5,1.8,3.9,46.2,1.4,1.7,82.5,0.5,1.8,2.3,3.4,1.2,0.7,0.3,2.7,20.9,0,0,-1.3
186,Josh Richardson,PHI,26,17,11,6,29.1,10.9,4.1,9.8,41.3,1.4,3.9,36.4,1.4,1.8,77.4,0.6,2.2,2.9,1.9,1.4,0.9,0.8,2.1,20.8,0,0,2.5
188,Josh Okogie,MIN,21,17,4,13,27.5,10.2,3.3,6.5,50.9,0.7,2.4,30.0,2.9,3.4,87.7,1.4,2.5,3.9,1.6,1.3,1.2,0.4,2.7,20.6,0,0,-2.6
189,Michael Carter-Williams,ORL,28,20,11,9,20.8,8.3,2.7,6.0,44.5,0.7,1.9,34.2,2.3,2.6,90.2,1.2,2.4,3.5,2.7,1.5,1.3,0.6,2.3,20.6,0,0,-0.3
190,Jakob Poeltl,SAS,24,19,9,10,18.1,6.6,3.0,4.6,65.5,0.0,0.0,0.0,0.6,1.5,37.9,2.3,3.4,5.7,1.5,0.8,0.8,1.1,2.3,20.5,2,0,2.1
191,Bobby Portis,NYK,25,17,8,9,21.9,11.9,4.8,9.7,49.1,1.1,2.8,37.5,1.3,1.5,84.6,0.6,3.8,4.5,1.2,1.4,0.4,0.5,1.4,20.4,0,0,-0.4
193,JJ Redick,NOP,36,16,8,8,22.5,14.4,4.6,10.3,44.8,2.8,6.6,41.5,2.4,2.8,88.6,0.1,1.8,1.8,2.3,1.3,0.3,0.2,1.7,20.2,0,0,-0.3
194,Kelly Olynyk,MIA,29,25,11,14,19.1,8.8,3.0,6.6,46.3,1.6,4.0,41.0,1.1,1.4,82.4,0.5,4.0,4.5,2.5,1.1,0.7,0.4,2.7,20.2,1,0,1.8
197,Svi Mykhailiuk,DET,23,11,2,9,25.6,9.7,3.1,9.3,33.3,2.0,6.4,31.4,1.5,2.2,70.8,0.4,2.3,2.6,3.1,1.5,1.3,0.0,2.1,19.8,0,0,-2.7
201,Derrick Jones Jr.,MIA,23,26,12,14,22.4,8.6,3.2,5.3,61.3,0.7,2.0,35.3,1.4,1.9,75.5,1.4,2.3,3.7,1.3,0.3,1.0,0.6,2.1,19.4,0,0,1.3
205,Bismack Biyombo,CHA,27,10,5,5,20.7,7.2,2.7,4.7,57.4,0.0,0.0,0.0,1.8,3.3,54.5,2.0,3.6,5.6,1.4,1.0,0.1,1.3,2.1,19.2,2,0,-3.7
206,Taurean Prince,BKN,26,17,9,8,26.5,10.7,3.7,11.0,33.7,1.8,6.4,27.5,1.5,1.9,81.3,0.6,3.9,4.6,1.0,1.9,0.7,0.4,2.5,19.2,0,0,2.1
208,Avery Bradley,LAL,29,16,13,3,26.7,11.0,4.0,9.1,44.1,2.4,5.5,44.3,0.6,0.6,90.0,0.2,2.4,2.6,1.7,0.8,0.9,0.2,2.1,19.2,0,0,7.7
208,Gary Harris,DEN,25,16,9,7,30.7,9.5,3.5,8.1,43.1,1.1,2.7,41.9,1.4,1.8,78.6,0.3,2.9,3.2,1.9,1.2,1.2,0.2,1.6,19.2,0,0,-0.4
211,Furkan Korkmaz,PHI,22,24,12,12,23.4,11.9,3.8,8.5,44.3,2.4,5.5,42.9,2.0,2.5,80.0,0.3,2.5,2.8,1.6,1.1,0.7,0.2,1.3,19.1,0,0,-0.1
212,Delon Wright,DAL,28,27,14,13,22.7,6.1,2.2,5.2,42.6,0.6,1.7,36.2,1.0,1.4,75.7,0.7,3.1,3.8,3.7,1.2,1.1,0.2,1.3,19.0,0,0,0.1
